"","tagrelID","obs_foID","opeID","vesselCode","Subarea","Lat_release","Lon_release","Dat_release","tagFate","tagrel1Type","tagrel1Colour","tagrel1Number","tagrel1Wording","tagrel2Type","tagrel2Colour","tagrel2Number","tagrel2Wording","Length_release","Weight_release","Sex_release","src","datasetID","Season","MU","tag_code_1","tag_code_2","Est_weigth_release"
"1",182,"O10887","H52925",30,"3b",-44.8183,45.7266,2021-01-31 13:00:00,"Released","T-Bar tags","White","A605369","AUSTRALIA","T-Bar tags","White","A605370","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605369+AUSTRALIA","T-Bar tags+White+A605370+AUSTRALIA",2.95845433937086
"2",183,"O10887","H52925",30,"3b",-44.8183,45.7266,2021-01-31 13:00:00,"Released","T-Bar tags","White","A605369","AUSTRALIA","T-Bar tags","White","A605370","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605369+AUSTRALIA","T-Bar tags+White+A605370+AUSTRALIA",2.95845433937086
"3",184,"O10887","H52925",30,"3b",-44.8183,45.7266,2021-01-31 13:00:00,"Released","T-Bar tags","White","A605369","AUSTRALIA","T-Bar tags","White","A605370","AUSTRALIA",68,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605369+AUSTRALIA","T-Bar tags+White+A605370+AUSTRALIA",2.95845433937086
"4",185,"O10889","H52927",30,"3b",-44.6916,45.5483,2021-01-31 15:34:00,"Released","T-Bar tags","White","A605375","AUSTRALIA","T-Bar tags","White","A605376","AUSTRALIA",56,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605375+AUSTRALIA","T-Bar tags+White+A605376+AUSTRALIA",1.54232556103365
"5",186,"O10889","H52927",30,"3b",-44.6916,45.5483,2021-01-31 15:34:00,"Released","T-Bar tags","White","A605375","AUSTRALIA","T-Bar tags","White","A605376","AUSTRALIA",56,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605375+AUSTRALIA","T-Bar tags+White+A605376+AUSTRALIA",1.54232556103365
"6",187,"O10891","H52929",30,"3b",-44.66,45.27,2021-01-31 17:32:00,"Released","T-Bar tags","White","A605379","AUSTRALIA","T-Bar tags","White","A605380","AUSTRALIA",77,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605379+AUSTRALIA","T-Bar tags+White+A605380+AUSTRALIA",4.48919929083232
"7",188,"O10891","H52929",30,"3b",-44.66,45.27,2021-01-31 17:32:00,"Released","T-Bar tags","White","A605379","AUSTRALIA","T-Bar tags","White","A605380","AUSTRALIA",77,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605379+AUSTRALIA","T-Bar tags+White+A605380+AUSTRALIA",4.48919929083232
"8",189,"O10891","H52929",30,"3b",-44.66,45.27,2021-01-31 17:32:00,"Released","T-Bar tags","White","A605379","AUSTRALIA","T-Bar tags","White","A605380","AUSTRALIA",77,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605379+AUSTRALIA","T-Bar tags+White+A605380+AUSTRALIA",4.48919929083232
"9",190,"O10892","H52930",30,"3b",-44.7316,45.3716,2021-01-31 18:10:00,"Released","T-Bar tags","White","A605387","AUSTRALIA","T-Bar tags","White","A605388","AUSTRALIA",72,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605387+AUSTRALIA","T-Bar tags+White+A605388+AUSTRALIA",3.58381605387349
"10",191,"O10892","H52930",30,"3b",-44.7316,45.3716,2021-01-31 18:10:00,"Released","T-Bar tags","White","A605387","AUSTRALIA","T-Bar tags","White","A605388","AUSTRALIA",72,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605387+AUSTRALIA","T-Bar tags+White+A605388+AUSTRALIA",3.58381605387349
"11",197,"O10898","H52936",30,"3b",-44.5783,45.505,2021-02-02 08:35:00,"Released","T-Bar tags","White","A605401","AUSTRALIA","T-Bar tags","White","A605402","AUSTRALIA",92,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605401+AUSTRALIA","T-Bar tags+White+A605402+AUSTRALIA",8.15630678455839
"12",198,"O10898","H52936",30,"3b",-44.5783,45.505,2021-02-02 08:35:00,"Released","T-Bar tags","White","A605401","AUSTRALIA","T-Bar tags","White","A605402","AUSTRALIA",92,NA,NA,"OBS",165,2021,"DC","T-Bar tags+White+A605401+AUSTRALIA","T-Bar tags+White+A605402+AUSTRALIA",8.15630678455839
